,kfold,strat,unstrat
0,2,0.6404615384615384,0.6303846153846154
1,3,0.6756153846153847,0.6551538461538461
2,4,0.6826923076923077,0.6636153846153847
3,5,0.6905384615384615,0.6812307692307692
4,6,0.7028461538461538,0.6743076923076925
5,7,0.7006923076923078,0.6772307692307691
6,8,0.712,0.6771538461538462
7,9,0.715923076923077,0.6797692307692306
