,kfold,strat,unstrat
0,2,0.0015084615384615384,0.001808461538461538
1,3,0.0016861538461538461,0.001681538461538462
2,4,0.0018115384615384617,0.0018276923076923077
3,5,0.002023076923076923,0.002282307692307692
4,6,0.0023415384615384617,0.0026423076923076916
5,7,0.0025107692307692305,0.0027884615384615383
6,8,0.0027130769230769227,0.0038561538461538464
7,9,0.0031330769230769233,0.004042307692307693
