KFold_Default , Accuracy , 0.934 , 0.941 , 0.938 , 0.941 , 0.943 , 0.947 , 0.947 , 0.948 ,
KFold_Default , Precision , 0.939 , 0.945 , 0.943 , 0.947 , 0.950 , 0.954 , 0.953 , 0.956 ,
KFold_Default , Recall , 0.934 , 0.941 , 0.938 , 0.941 , 0.943 , 0.947 , 0.947 , 0.948 ,
KFold_Default , F1 , 0.934 , 0.941 , 0.937 , 0.941 , 0.943 , 0.947 , 0.946 , 0.948 ,
KFold_C001 , Accuracy , 0.939 , 0.943 , 0.940 , 0.948 , 0.941 , 0.938 , 0.947 , 0.947 ,
KFold_C001 , Precision , 0.943 , 0.947 , 0.944 , 0.954 , 0.948 , 0.947 , 0.955 , 0.955 ,
KFold_C001 , Recall , 0.939 , 0.943 , 0.940 , 0.948 , 0.941 , 0.938 , 0.947 , 0.947 ,
KFold_C001 , F1 , 0.939 , 0.943 , 0.940 , 0.948 , 0.940 , 0.938 , 0.946 , 0.946 ,
KFold_C01 , Accuracy , 0.943 , 0.943 , 0.936 , 0.945 , 0.944 , 0.945 , 0.950 , 0.942 ,
KFold_C01 , Precision , 0.946 , 0.948 , 0.941 , 0.951 , 0.950 , 0.952 , 0.956 , 0.952 ,
KFold_C01 , Recall , 0.943 , 0.943 , 0.936 , 0.945 , 0.944 , 0.945 , 0.950 , 0.942 ,
KFold_C01 , F1 , 0.943 , 0.943 , 0.936 , 0.945 , 0.944 , 0.945 , 0.950 , 0.941 ,
KFold_C025 , Accuracy , 0.930 , 0.942 , 0.940 , 0.945 , 0.941 , 0.947 , 0.946 , 0.946 ,
KFold_C025 , Precision , 0.933 , 0.946 , 0.945 , 0.951 , 0.948 , 0.954 , 0.954 , 0.955 ,
KFold_C025 , Recall , 0.930 , 0.942 , 0.940 , 0.945 , 0.941 , 0.947 , 0.946 , 0.946 ,
KFold_C025 , F1 , 0.930 , 0.942 , 0.940 , 0.944 , 0.940 , 0.946 , 0.946 , 0.946 ,
KFold_C05 , Accuracy , 0.933 , 0.937 , 0.939 , 0.939 , 0.943 , 0.941 , 0.950 , 0.947 ,
KFold_C05 , Precision , 0.936 , 0.941 , 0.944 , 0.946 , 0.951 , 0.948 , 0.957 , 0.955 ,
KFold_C05 , Recall , 0.933 , 0.937 , 0.939 , 0.939 , 0.943 , 0.941 , 0.950 , 0.947 ,
KFold_C05 , F1 , 0.934 , 0.938 , 0.939 , 0.939 , 0.943 , 0.941 , 0.950 , 0.946 ,
KFold_M1 , Accuracy , 0.936 , 0.938 , 0.938 , 0.941 , 0.946 , 0.948 , 0.946 , 0.951 ,
KFold_M1 , Precision , 0.940 , 0.942 , 0.946 , 0.948 , 0.953 , 0.955 , 0.954 , 0.958 ,
KFold_M1 , Recall , 0.936 , 0.938 , 0.938 , 0.941 , 0.946 , 0.948 , 0.946 , 0.951 ,
KFold_M1 , F1 , 0.936 , 0.938 , 0.938 , 0.941 , 0.945 , 0.948 , 0.946 , 0.950 ,
KFold_M2 , Accuracy , 0.937 , 0.938 , 0.935 , 0.944 , 0.941 , 0.942 , 0.941 , 0.945 ,
KFold_M2 , Precision , 0.942 , 0.943 , 0.940 , 0.949 , 0.946 , 0.949 , 0.951 , 0.956 ,
KFold_M2 , Recall , 0.937 , 0.938 , 0.935 , 0.944 , 0.941 , 0.942 , 0.941 , 0.945 ,
KFold_M2 , F1 , 0.937 , 0.938 , 0.935 , 0.944 , 0.940 , 0.941 , 0.940 , 0.945 ,
KFold_M4 , Accuracy , 0.938 , 0.933 , 0.940 , 0.949 , 0.947 , 0.941 , 0.948 , 0.943 ,
KFold_M4 , Precision , 0.942 , 0.940 , 0.947 , 0.954 , 0.952 , 0.947 , 0.955 , 0.955 ,
KFold_M4 , Recall , 0.938 , 0.933 , 0.940 , 0.949 , 0.947 , 0.941 , 0.948 , 0.943 ,
KFold_M4 , F1 , 0.938 , 0.933 , 0.940 , 0.949 , 0.947 , 0.940 , 0.947 , 0.943 ,
KFold_M10 , Accuracy , 0.927 , 0.936 , 0.942 , 0.941 , 0.942 , 0.949 , 0.948 , 0.950 ,
KFold_M10 , Precision , 0.932 , 0.941 , 0.947 , 0.948 , 0.949 , 0.954 , 0.955 , 0.956 ,
KFold_M10 , Recall , 0.927 , 0.936 , 0.942 , 0.941 , 0.942 , 0.949 , 0.948 , 0.950 ,
KFold_M10 , F1 , 0.927 , 0.936 , 0.942 , 0.941 , 0.942 , 0.948 , 0.947 , 0.949 ,
KFold_N2 , Accuracy , 0.939 , 0.942 , 0.938 , 0.947 , 0.940 , 0.947 , 0.943 , 0.946 ,
KFold_N2 , Precision , 0.943 , 0.945 , 0.943 , 0.953 , 0.947 , 0.954 , 0.952 , 0.953 ,
KFold_N2 , Recall , 0.939 , 0.942 , 0.938 , 0.947 , 0.940 , 0.947 , 0.943 , 0.946 ,
KFold_N2 , F1 , 0.940 , 0.942 , 0.938 , 0.947 , 0.940 , 0.947 , 0.943 , 0.945 ,
KFold_N3 , Accuracy , 0.929 , 0.935 , 0.945 , 0.947 , 0.948 , 0.945 , 0.945 , 0.947 ,
KFold_N3 , Precision , 0.933 , 0.940 , 0.952 , 0.951 , 0.954 , 0.952 , 0.953 , 0.954 ,
KFold_N3 , Recall , 0.929 , 0.935 , 0.945 , 0.947 , 0.948 , 0.945 , 0.945 , 0.947 ,
KFold_N3 , F1 , 0.930 , 0.935 , 0.945 , 0.946 , 0.948 , 0.945 , 0.945 , 0.947 ,
KFold_N6 , Accuracy , 0.940 , 0.946 , 0.946 , 0.943 , 0.950 , 0.940 , 0.946 , 0.950 ,
KFold_N6 , Precision , 0.943 , 0.950 , 0.950 , 0.949 , 0.956 , 0.948 , 0.954 , 0.958 ,
KFold_N6 , Recall , 0.940 , 0.946 , 0.946 , 0.943 , 0.950 , 0.940 , 0.946 , 0.950 ,
KFold_N6 , F1 , 0.940 , 0.946 , 0.947 , 0.943 , 0.949 , 0.939 , 0.946 , 0.950 ,
KFold_N9 , Accuracy , 0.936 , 0.932 , 0.949 , 0.945 , 0.948 , 0.944 , 0.950 , 0.945 ,
