unstrat , KFold_N3 , Recall , 0.00152 , 0.00146 , 0.00205 , 0.00314 , 0.00253 , 0.00393 , 0.00504 , 0.00391 ,
unstrat , KFold_N3 , F1 , 0.00166 , 0.00145 , 0.00201 , 0.00338 , 0.00258 , 0.00398 , 0.00547 , 0.00429 ,
unstrat , KFold_N6 , Accuracy , 0.00128 , 0.00151 , 0.00199 , 0.00246 , 0.00270 , 0.00325 , 0.00251 , 0.00405 ,
unstrat , KFold_N6 , Precision , 0.00122 , 0.00158 , 0.00168 , 0.00234 , 0.00228 , 0.00322 , 0.00367 , 0.00338 ,
unstrat , KFold_N6 , Recall , 0.00141 , 0.00149 , 0.00280 , 0.00229 , 0.00299 , 0.00424 , 0.00396 , 0.00419 ,
unstrat , KFold_N6 , F1 , 0.00144 , 0.00157 , 0.00265 , 0.00243 , 0.00293 , 0.00434 , 0.00294 , 0.00443 ,
unstrat , KFold_N9 , Accuracy , 0.00150 , 0.00175 , 0.00166 , 0.00245 , 0.00211 , 0.00331 , 0.00362 , 0.00300 ,
unstrat , KFold_N9 , Precision , 0.00165 , 0.00177 , 0.00133 , 0.00257 , 0.00190 , 0.00372 , 0.00378 , 0.00325 ,
unstrat , KFold_N9 , Recall , 0.00153 , 0.00181 , 0.00203 , 0.00244 , 0.00246 , 0.00405 , 0.00334 , 0.00293 ,
unstrat , KFold_N9 , F1 , 0.00171 , 0.00180 , 0.00199 , 0.00269 , 0.00235 , 0.00444 , 0.00394 , 0.00335 ,
